#SOD  LONEST    LATEST         ALTEST       CLKEST     GGTO   SOL NSVVIS NSV HPE     VPE      EPE     NPE     UPE    HDOP    VDOP    PDOP   
00000    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00010    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00020    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
01260 -108.46024  -15.28847    1341265.615     0.462    -4.581   1  15  13   0.020   0.320  -0.019  -0.008   0.320   0.874   1.222   1.503 
01270 -108.26884  -15.77473    1341354.630     0.439    -4.675   1  15  14   0.045   0.280   0.041  -0.018   0.280   0.824   1.200   1.456 
01280 -108.07634  -16.26071    1341445.887     0.411    -4.564   1  15  14   0.049   0.290   0.043  -0.025   0.290   0.819   1.203   1.456 
01290 -107.88268  -16.74640    1341539.232     0.364    -4.555   1  15  14   0.041   0.229   0.040  -0.008   0.229   0.815   1.209   1.458 
01300 -107.68784  -17.23180    1341634.816     0.387    -4.559   1  15  14   0.049   0.278   0.047  -0.012   0.278   0.811   1.212   1.459 
01310 -107.49176  -17.71690    1341732.436     0.323    -4.443   1  15  14   0.044   0.263   0.038  -0.022   0.263   0.807   1.216   1.460 
01320 -107.29440  -18.20167    1341832.173     0.342    -4.464   1  15  14   0.049   0.300   0.044  -0.022   0.300   0.803   1.221   1.461 
01330 -107.09572  -18.68612    1341933.900     0.290    -4.343   1  15  14   0.054   0.293   0.046  -0.027   0.293   0.798   1.224   1.461 
01340 -106.89567  -19.17023    1342037.664     0.282    -4.346   1  15  14   0.033   0.324   0.027  -0.019   0.324   0.795   1.227   1.462 
01350 -106.69422  -19.65400    1342143.338     0.238    -4.281   1  15  14   0.022   0.297   0.019  -0.012   0.297   0.791   1.233   1.465 
01360 -106.49130  -20.13740    1342250.974     0.224    -4.268   1  15  14   0.004   0.302  -0.004  -0.000   0.302   0.788   1.236   1.466 
01370 -106.28689  -20.62043    1342360.496     0.178    -4.162   1  14  14   0.006   0.297  -0.003   0.005   0.297   0.784   1.241   1.468 
01380 -106.08092  -21.10308    1342471.887     0.181    -4.157   1  14  14   0.037   0.301  -0.032   0.017   0.301   0.781   1.244   1.469 
01390 -105.87335  -21.58533    1342585.117     0.229    -4.270   1  14  14   0.024   0.322  -0.024   0.002   0.322   0.778   1.248   1.471 
01400 -105.66413  -22.06718    1342700.204     0.310    -4.326   1  14  14   0.026   0.415  -0.019   0.017   0.415   0.775   1.251   1.472 
01410 -105.45321  -22.54860    1342816.949     0.320    -4.317   1  14  14   0.029   0.419  -0.025   0.015   0.419   0.773   1.255   1.474 
01420 -105.24054  -23.02959    1342935.374     0.320    -4.376   1  14  14   0.072   0.393  -0.051   0.050   0.393   0.770   1.259   1.476 
01430 -105.02606  -23.51014    1343055.604     0.434    -4.554   1  14  14   0.075   0.505  -0.037   0.065   0.505   0.768   1.262   1.478 
01440 -104.80973  -23.99024    1343177.380     0.452    -4.576   1  14  14   0.084   0.534  -0.049   0.069   0.534   0.766   1.265   1.479 
01450 -104.59148  -24.46986    1343300.753     0.479    -4.559   1  14  14   0.090   0.569  -0.056   0.070   0.569   0.764   1.268   1.481 
01460 -104.37125  -24.94899    1343425.642     0.472    -4.537   1  14  14   0.095   0.574  -0.065   0.070   0.574   0.763   1.272   1.483 
01470 -104.14901  -25.42763    1343552.041     0.491    -4.584   1  14  14   0.108   0.583  -0.079   0.073   0.583   0.761   1.275   1.485 
01480 -103.92467  -25.90575    1343679.934     0.545    -4.725   1  14  14   0.094   0.621  -0.060   0.073   0.621   0.760   1.276   1.485 
01490 -103.69819  -26.38335    1343809.156     0.469    -4.605   1  14  14   0.105   0.568  -0.062   0.085   0.568   0.759   1.282   1.490 
01500 -103.46950  -26.86041    1343939.850     0.532    -4.767   1  14  14   0.107   0.608  -0.054   0.092   0.608   0.758   1.284   1.491 
01510 -103.23854  -27.33690    1344071.881     0.566    -4.785   1  14  14   0.108   0.651  -0.062   0.088   0.651   0.758   1.286   1.493 
01520 -103.00525  -27.81283    1344205.164     0.566    -4.783   1  15  14   0.111   0.654  -0.079   0.077   0.654   0.758   1.288   1.494 
01530 -102.76956  -28.28816    1344339.681     0.558    -4.749   1  15  14   0.100   0.644  -0.066   0.075   0.644   0.758   1.292   1.498 
01540 -102.53140  -28.76289    1344475.388     0.542    -4.704   1  15  14   0.106   0.625  -0.061   0.086   0.625   0.758   1.296   1.501 
01550 -102.29071  -29.23700    1344612.233     0.529    -4.784   1  15  15   0.074   0.588  -0.043   0.060   0.588   0.705   1.249   1.434 
01560 -102.04741  -29.71047    1344750.245     0.550    -4.844   1  15  15   0.080   0.608  -0.043   0.067   0.608   0.704   1.251   1.436 
01570 -101.80143  -30.18328    1344889.307     0.579    -4.931   1  15  15   0.073   0.613  -0.029   0.067   0.613   0.704   1.252   1.437 
01580 -101.55270  -30.65542    1345029.383     0.571    -4.834   1  15  15   0.081   0.615  -0.032   0.074   0.615   0.704   1.254   1.438 
01590 -101.30114  -31.12687    1345170.152     0.367    -4.886   1  14  14   0.152   0.339  -0.041   0.146   0.339   0.726   1.309   1.497 
01600 -101.04668  -31.59760    1345312.095     0.380    -4.918   1  14  14   0.147   0.315  -0.050   0.138   0.315   0.725   1.312   1.499 
01610 -100.78923  -32.06760    1345454.880     0.336    -4.892   1  14  14   0.143   0.257  -0.045   0.135   0.257   0.725   1.313   1.500 
01620 -100.52872  -32.53685    1345598.468     0.240    -4.789   1  15  14   0.151   0.174  -0.048   0.143   0.174   0.725   1.315   1.501 
01630 -100.26506  -33.00532    1345742.894     0.221    -4.728   1  15  14   0.144   0.150  -0.041   0.138   0.150   0.725   1.317   1.504 
01640  -99.99817  -33.47300    1345888.063     0.197    -4.725   1  15  14   0.148   0.137  -0.050   0.140   0.137   0.726   1.317   1.504 
01650  -99.72795  -33.93987    1346033.752     0.005    -4.408   1  15  15   0.063   0.037  -0.020   0.060  -0.037   0.692   1.245   1.424 
01660  -99.45432  -34.40590    1346180.204    -0.019    -4.448   1  15  15   0.096   0.082  -0.016   0.095  -0.082   0.692   1.247   1.426 
01670  -99.17718  -34.87107    1346327.321    -0.014    -4.434   1  15  15   0.085   0.047  -0.012   0.084  -0.047   0.692   1.249   1.428 
01680  -98.89645  -35.33535    1346474.948    -0.028    -4.422   1  15  15   0.086   0.037  -0.017   0.084  -0.037   0.693   1.249   1.428 
01690  -98.61202  -35.79873    1346622.997    -0.059    -4.416   1  15  15   0.089   0.088  -0.018   0.087  -0.088   0.693   1.250   1.429 
01700  -98.32379  -36.26117    1346771.547    -0.025    -4.427   1  15  15   0.062   0.075  -0.016   0.060  -0.075   0.694   1.249   1.429 
01710  -98.03166  -36.72265    1346920.465     0.020    -4.582   1  15  15   0.057   0.080  -0.018   0.054  -0.080   0.695   1.251   1.431 
01720  -97.73553  -37.18314    1347069.698     0.012    -4.532   1  16  15   0.048   0.105  -0.018   0.045  -0.105   0.696   1.251   1.431 
